sizes	no_filter_forward	no_filter_backward	no_filter_inference	flex_filter_forward	flex_filter_backward	flex_filter_inference	const_filter_forward	const_filter_backward	const_filter_inference
121	0.840516	0.0739706	0.0369682	1.91898	0.00165701	0.0262003	0.0197968	0.00113869	0.0196371
114	0.0464237	0.0262606	0.0443921	0.0268424	0.00121236	0.0285511	0.0381675	0.0125518	0.0392327
132	0.107448	0.0376678	0.0646861	0.0406826	0.00127912	0.0431263	0.0365965	0.00195289	0.0385425
153	0.03004	0.0153024	0.0289674	0.0190313	0.00123024	0.0212173	0.0220327	0.00120139	0.0204344
134	0.0555081	0.032505	0.0594375	0.0393946	0.0012424	0.0419233	0.0704653	0.029407	0.0720308
173	0.0463424	0.0269818	0.0476553	0.0341277	0.00128627	0.0363898	0.0500667	0.0128465	0.0491738
173	0.0515766	0.0359528	0.0441451	0.0228181	0.00126266	0.0249693	0.0244288	0.00154877	0.0235686
100	0.019876	0.00675988	0.0204813	0.01476	0.00125051	0.0171058	0.0165479	0.0013001	0.0168028
161	0.0476933	0.0297296	0.0516806	0.0355794	0.00137615	0.0380046	0.0342891	0.00125933	0.0344889
194	0.062614	0.0356696	0.0514162	0.0334923	0.00148749	0.0360153	0.0295501	0.00133681	0.0330892
169	0.035671	0.0176346	0.0337102	0.0283873	0.0014329	0.0310802	0.0309732	0.00473523	0.0337179
186	0.0451009	0.0303845	0.0452092	0.0283337	0.00150013	0.0306849	0.0480261	0.021024	0.0521085
156	0.0446208	0.0199072	0.0434542	0.0293577	0.00141644	0.0315361	0.030015	0.00278449	0.03111
183	0.0594304	0.0344431	0.0550416	0.0382376	0.00143981	0.0409801	0.0340905	0.00142574	0.0371616
187	0.0922992	0.0405169	0.0745344	0.0447993	0.0014677	0.0469911	0.0430193	0.0040791	0.0461931
221	0.0650253	0.0304842	0.0524213	0.0299532	0.00155616	0.0322063	0.0479574	0.0189688	0.0565631
205	0.0409935	0.0307281	0.0436559	0.0259244	0.00156951	0.0278296	0.0254469	0.00176954	0.0275371
149	0.0583806	0.0226576	0.0534191	0.0406306	0.00143003	0.0430527	0.0348885	0.001266	0.0380881
239	0.074254	0.0296926	0.0442843	0.0304644	0.00162387	0.032722	0.0400147	0.0113456	0.0440166
167	0.0272317	0.0143995	0.0280135	0.0194101	0.00144339	0.0215991	0.0221906	0.00393128	0.0247195
185	0.0875506	0.0412042	0.0781736	0.0507352	0.00146675	0.0526333	0.0441341	0.00152707	0.0469131
225	0.0562992	0.0334849	0.0916855	0.0395501	0.0015645	0.0418193	0.0361581	0.00157309	0.0385091
207	0.0380356	0.0184059	0.045362	0.0261555	0.00157595	0.0289323	0.0231931	0.00151896	0.0263147
215	0.064291	0.0254056	0.0436034	0.0349247	0.00152063	0.0374444	0.0323539	0.00151467	0.035095
201	0.0303097	0.0194721	0.0303206	0.0202205	0.00154185	0.0225494	0.0201724	0.00159192	0.0221307
155	0.060802	0.0335822	0.0633979	0.0484784	0.00136328	0.0504296	0.0421247	0.001436	0.0460534
210	0.0515153	0.0299711	0.0490739	0.0395167	0.00154948	0.0425918	0.0429127	0.00680161	0.0456443
213	0.157772	0.12271	0.155308	0.102599	0.00155354	0.104468	0.0884385	0.0017457	0.0915549
261	0.0866535	0.0492756	0.0784736	0.0571408	0.00171447	0.0590801	0.0680516	0.014703	0.0710979
263	0.0646212	0.0455604	0.0669599	0.0446844	0.00169373	0.046566	0.0402982	0.00211096	0.0420144
234	0.0800147	0.0595398	0.0821106	0.0538063	0.00161242	0.0557079	0.0466499	0.00159574	0.0495577
206	0.057364	0.0323272	0.05811	0.0425422	0.00152731	0.0440509	0.037606	0.00153184	0.0400832
235	0.0852547	0.0574408	0.105357	0.0628755	0.00162387	0.0635757	0.0548382	0.00159526	0.0569727
265	0.110333	0.0632961	0.106595	0.0716054	0.00173545	0.0734301	0.0629997	0.00168848	0.0648866
291	0.138598	0.0856845	0.11383	0.0844631	0.00180078	0.0858929	0.0729163	0.00182891	0.076452
286	0.140086	0.0308518	0.0439851	0.026129	0.00175834	0.028439	0.0291922	0.00546598	0.0322628
189	0.0640452	0.039902	0.0729859	0.0497377	0.00146675	0.0516965	0.0765245	0.0319159	0.0807834
237	0.093235	0.0665281	0.100055	0.0732806	0.00161099	0.0754237	0.0666051	0.00233555	0.0680504
299	0.0905819	0.0635924	0.0907166	0.0556445	0.00178909	0.0569165	0.0953414	0.0439234	0.100813
192	0.0539877	0.0295625	0.0501482	0.0394025	0.00150394	0.0415649	0.0382762	0.00244617	0.0373802
231	0.0915325	0.0609062	0.0838029	0.0610726	0.00162911	0.0629778	0.0565267	0.0013938	0.0584307
244	0.0857716	0.0418141	0.0832472	0.0515964	0.00155878	0.0542538	0.0459473	0.00143528	0.04845
231	0.0685468	0.055506	0.0708039	0.046247	0.00154805	0.047533	0.0417812	0.00184321	0.0441165
178	0.0768933	0.056067	0.0893867	0.0568695	0.00141907	0.0585561	0.0800133	0.0258915	0.0828388
203	0.0938334	0.0556359	0.0976574	0.0667119	0.00151706	0.0687487	0.0607355	0.00222683	0.061234
265	0.0912061	0.0769296	0.109135	0.0632787	0.00170708	0.0652447	0.0935245	0.0377741	0.098269
263	0.0663357	0.0400608	0.0682321	0.0476418	0.00166512	0.0501087	0.0766239	0.0280015	0.0777812
288	0.0832181	0.069005	0.100322	0.0577688	0.0017755	0.0602751	0.103553	0.0497143	0.107616
245	0.17583	0.0863037	0.118099	0.0705149	0.00168085	0.0730824	0.0655298	0.00274706	0.0688815
241	0.175661	0.158664	0.185524	0.11511	0.00162458	0.117252	0.196275	0.113922	0.205477
295	0.130652	0.099647	0.134143	0.0765944	0.00180101	0.0794768	0.0761633	0.00316882	0.0735204
258	0.2009	0.166025	0.215556	0.134633	0.00165129	0.138501	0.117702	0.00146961	0.121126
370	0.197685	0.195048	0.176452	0.100693	0.00203633	0.103189	0.184786	0.105411	0.195438
284	0.151565	0.108073	0.150031	0.0890768	0.00172043	0.0919774	0.163272	0.0873742	0.163869
317	0.122225	0.0888851	0.115835	0.0744412	0.00184441	0.0744836	0.0709667	0.0030694	0.0696156
282	0.144032	0.104569	0.170857	0.0850456	0.00168729	0.0867832	0.0756745	0.00154305	0.0812092
284	0.200808	0.148813	0.17966	0.117813	0.00174093	0.120772	0.106201	0.00155115	0.10847
323	0.20399	0.210164	0.185239	0.122396	0.00193119	0.126892	0.107249	0.00158906	0.111645
297	0.189339	0.141594	0.181027	0.131736	0.00181675	0.135216	0.1195	0.00307655	0.121845
340	0.0991166	0.0856526	0.114421	0.0627615	0.00192785	0.0644443	0.0550022	0.00169468	0.0579739
239	0.0984051	0.0603564	0.0946009	0.0576117	0.00161958	0.0596442	0.0525584	0.00148582	0.0552268
262	0.128505	0.0924397	0.109772	0.0697322	0.00165129	0.0723889	0.0625889	0.00144458	0.0651267
290	0.210517	0.192204	0.239677	0.136904	0.00173497	0.139915	0.121745	0.00152516	0.122616
293	0.162691	0.122884	0.163042	0.0992432	0.00181365	0.101036	0.0896289	0.00151253	0.0920165
