sizes	flex_filter_forward	flex_filter_backward	const_filter_forward	const_filter_backward
121	0.0189991	0.00400019	0.0179999	0.00300193
114	0.0229995	0.00299978	0.0250001	0.0030005
132	0.0390172	0.00199962	0.0750022	0.0429995
153	0.0189993	0.0030005	0.0259986	0.0080018
134	0.0380008	0.00200057	0.0370004	0.00400019
173	0.0330017	0.00299811	0.0340006	0.00400162
173	0.0210021	0.00299883	0.0220003	0.00400162
100	0.0150018	0.00299859	0.0140002	0.00200224
161	0.0329955	0.00300026	0.032851	0.00399804
194	0.0320029	0.00399995	0.0329974	0.00399995
169	0.0289986	0.00300026	0.0270002	0.00300002
186	0.029	0.00300002	0.0260015	0.00300217
156	0.0300057	0.0109971	0.0280011	0.00399899
183	0.0720043	0.0050025	0.0369997	0.00400257
187	0.0459976	0.00400066	0.0360003	0.00400043
221	0.0300002	0.00399995	0.0259998	0.00400114
205	0.0240843	0.00392008	0.0249982	0.00399971
149	0.04	0.00300002	0.0385165	0.00299954
239	0.0279994	0.00399971	0.0289989	0.00399923
167	0.0200021	0.00399947	0.0200016	0.00399899
185	0.0510018	0.00399923	0.0459993	0.00299907
225	0.0389977	0.00300193	0.0340002	0.00400329
207	0.0259991	0.00400186	0.0239997	0.00399971
215	0.03	0.00399995	0.0330002	0.00300074
201	0.0219986	0.00400138	0.0190001	0.00400233
155	0.0479996	0.00299788	0.0429995	0.00300121
210	0.0390019	0.0030005	0.0390029	0.00399828
213	0.0899994	0.00399947	0.092	0.0039978
261	0.0519996	0.00399995	0.0540006	0.00399971
263	0.0419977	0.00400138	0.0400016	0.00299859
234	0.0519998	0.00400567	0.0509999	0.00399971
206	0.0400014	0.00299954	0.039	0.00399947
235	0.0589983	0.00299978	0.0589998	0.00400233
265	0.0650001	0.00399995	0.0640011	0.00400305
291	0.0799999	0.00399995	0.0799987	0.00399828
286	0.0280004	0.00399995	0.0240014	0.0039978
189	0.0460019	0.00299907	0.0469999	0.00400019
237	0.0700006	0.00500059	0.0690043	0.00300002
299	0.0529993	0.00399995	0.0509992	0.00400114
192	0.0359993	0.00300121	0.0369997	0.00400114
231	0.0539999	0.00300241	0.0540035	0.00399804
244	0.0530031	0.00499892	0.0479977	0.00300288
231	0.0440028	0.00399971	0.0400045	0.00299931
178	0.0529983	0.00400066	0.0529997	0.00300026
203	0.0609984	0.00300026	0.0600023	0.00300193
265	0.0580001	0.00399995	0.0590005	0.00399947
263	0.050998	0.00500011	0.0400014	0.00400019
288	0.067004	0.00600028	0.0510008	0.00399995
245	0.0910039	0.00600243	0.0739982	0.00299883
241	0.111992	0.00399995	0.103999	0.00400019
295	0.072	0.00500011	0.0739973	0.00300002
258	0.128002	0.00399828	0.125001	0.00400019
370	0.0972784	0.00399518	0.0936425	0.00499988
284	0.0889966	0.00300026	0.0765269	0.00499725
317	0.0630012	0.00500154	0.0707247	0.00399876
282	0.075001	0.00399971	0.0819983	0.00400233
284	0.107999	0.00300002	0.108	0.00400329
323	0.118001	0.00399947	0.107001	0.00399828
297	0.126002	0.00399995	0.113999	0.0050025
340	0.0620003	0.00499821	0.0649996	0.00499964
239	0.060004	0.0039978	0.0580018	0.00399899
262	0.0699992	0.00499845	0.0670011	0.00399494
290	0.132998	0.00499916	0.126	0.00400114
293	0.0929964	0.00400066	0.0929987	0.00399971
317	0.105998	0.00600219	0.111005	0.00399852
320	0.132998	0.00600004	0.133999	0.00500059
367	0.0790024	0.00599957	0.0785146	0.0050025
224	0.0879991	0.00500059	0.084002	0.0039978
295	0.0880036	0.00499892	0.165995	0.0780029
291	0.166999	0.00499964	0.225999	0.0970027
325	0.179003	0.00500011	0.166999	0.00500131
339	0.132004	0.00599837	0.111997	0.00500178
307	0.103002	0.00500107	0.0929973	0.00500035
286	0.174996	0.00500274	0.170999	0.00399971
388	0.120005	0.0059979	0.113536	0.00600314
264	0.129002	0.00399947	0.121013	0.00399947
332	0.135999	0.00499964	0.141015	0.00400186
341	0.0809984	0.00500202	0.0890002	0.00499988
319	0.0579998	0.00500131	0.0569978	0.00400043
262	0.0880008	0.00700116	0.0750005	0.00399852
283	0.116003	0.00399923	0.102001	0.00399899
368	0.143997	0.00400043	0.139012	0.00499964
359	0.137	0.00399995	0.133999	0.00500011
358	0.0590005	0.00499988	0.0570011	0.00499845
239	0.0970001	0.00400114	0.0954425	0.00399828
302	0.118001	0.00500083	0.122108	0.0039618
352	0.114999	0.00500011	0.113986	0.00499964
325	0.120004	0.00400043	0.120941	0.00400209
321	0.158995	0.00400114	0.166013	0.00399828
344	0.108	0.00500178	0.121	0.00500059
336	0.0810041	0.00499845	0.0770013	0.00400186
287	0.0699978	0.00500011	0.0590003	0.00299788
277	0.135005	0.00399899	0.124996	0.00299978
363	0.0959992	0.00499988	0.0860009	0.00500131
328	0.160999	0.00399923	0.150017	0.0039978
432	0.118007	0.00599599	0.120012	0.00500011
290	0.124997	0.00400233	0.109949	0.00351453
390	0.30094	0.00499892	0.300525	0.00299907
487	0.161996	0.00600028	0.170001	0.00500107
336	0.162	0.00500059	0.152969	0.00399995
410	0.206	0.00500035	0.194013	0.00499749
356	0.146	0.00400019	0.145923	0.00500035
394	0.137003	0.00500083	0.136004	0.00499845
337	0.101997	0.00499964	0.104998	0.00400019
337	0.153001	0.0049994	0.153	0.00499749
412	0.261999	0.00500298	0.255032	0.00400805
419	0.285005	0.0049963	0.253014	0.00500154
429	0.189998	0.00400019	0.166949	0.00699854
337	0.0940015	0.00599861	0.0969999	0.00500369
294	0.167001	0.00500035	0.141001	0.00400019
397	0.247997	0.00599813	0.192016	0.00500035
412	0.203005	0.00599432	0.173	0.00499988
480	0.297999	0.00400043	0.286011	0.00499558
411	0.164004	0.00900149	0.155003	0.00499797
405	0.117999	0.00699949	0.105001	0.00600123
354	0.107999	0.0050025	0.100998	0.00499988
315	0.150001	0.00499916	0.128003	0.00399995
426	0.195001	0.00500321	0.182001	0.00499725
402	0.164994	0.00500226	0.135	0.00499964
363	0.152004	0.0049994	0.143936	0.0040009
369	0.101999	0.00399733	0.0979996	0.00500011
347	0.155003	0.00399828	0.148	0.00500059
410	0.190999	0.00400019	0.184979	0.00499916
398	0.214998	0.0040009	0.211998	0.00499845
477	0.211001	0.0060029	0.22	0.00400233
394	0.139996	0.00500107	0.122997	0.00501609
410	0.103001	0.00499964	0.105013	0.00500345
335	0.107999	0.00499988	0.107517	0.00502586
391	0.208006	0.00499725	0.220999	0.00500131
450	0.248999	0.00600243	0.222998	0.00500202
463	0.343	0.00500083	0.325003	0.00499487
538	0.212002	0.00500011	0.191392	0.00599742
386	0.0810006	0.00500083	0.0710034	0.00499916
311	0.125001	0.00500059	0.117002	0.00399995
415	0.152999	0.00499988	0.145277	0.0049963
215	0.0290024	0.00399923	0.0280035	0.00399971
225	0.0200062	0.00299478	0.019999	0.00300002
258	0.022999	0.00400376	0.0210006	0.00399995
273	0.0340028	0.00399899	0.033999	0.00399995
281	0.0299973	0.00300121	0.0300019	0.00400019
325	0.0180013	0.00399828	0.0180001	0.00299954
249	0.0319989	0.00500059	0.0329967	0.00399995
254	0.0190008	0.00399971	0.0180008	0.00300002
332	0.0320015	0.00400138	0.0300019	0.00299716
339	0.0658889	0.00399876	0.0550017	0.00300026
340	0.0240002	0.00299859	0.0370033	0.0129983
321	0.0339973	0.00400448	0.0539985	0.0279999
323	0.0480018	0.00400114	0.0880024	0.0369987
348	0.065002	0.00399637	0.119999	0.0750051
385	0.0280004	0.0039978	0.0510004	0.0209997
408	0.0250027	0.0039959	0.0539982	0.0260034
335	0.0249991	0.00400019	0.039999	0.0140009
370	0.0219996	0.0030005	0.0340023	0.0139987
390	0.0390043	0.00399923	0.0859995	0.0510006
342	0.0460019	0.00599861	0.074142	0.0280025
386	0.0399997	0.00399995	0.0780015	0.04
412	0.0539999	0.00399995	0.108997	0.0660021
411	0.0349994	0.00300074	0.0689998	0.0320013
399	0.0310004	0.00400043	0.0591011	0.033999
343	0.0310004	0.00299907	0.046999	0.016
339	0.0450006	0.00399995	0.0839996	0.0400023
403	0.0769968	0.00500011	0.137998	0.0880046
426	0.079	0.00400233	0.186999	0.149517
498	0.0589993	0.0040009	0.128999	0.0820005
472	0.0419998	0.00400019	0.096997	0.0489998
410	0.0440001	0.00400043	0.0829985	0.0440044
421	0.043	0.00300002	0.0700042	0.0299957
472	0.0530021	0.00499773	0.101004	0.0489976
528	0.0820031	0.00500083	0.144997	0.0820067
541	0.0339968	0.00400019	0.0669997	0.0330024
458	0.0509999	0.0049994	0.108	0.0630002
401	0.0480013	0.00399661	0.084033	0.0370026
508	0.0500047	0.00399923	0.0510015	0.00399876
463	0.0440023	0.00399923	0.0520027	0.00399756
403	0.0429995	0.00399947	0.0479989	0.00399995
445	0.0390027	0.00399828	0.0419967	0.00500131
453	0.0289972	0.00399995	0.0280018	0.00500059
381	0.0469966	0.00400281	0.0439985	0.00399971
351	0.0709956	0.00399971	0.0609999	0.00300074
439	0.0559995	0.00399995	0.0550022	0.00399876
494	0.0840015	0.00399852	0.089	0.00399733
529	0.0530007	0.00300026	0.0609992	0.0039978
503	0.0470045	0.00596786	0.046001	0.00499916
450	0.0999992	0.00499582	0.100002	0.0030005
489	0.0830033	0.0039978	0.073	0.00399971
517	0.206005	0.00599813	0.161	0.00400257
583	0.0949981	0.00400281	0.082999	0.00400066
611	0.138001	0.0059998	0.107999	0.00500178
561	0.0960028	0.00399685	0.0830026	0.0039978
563	0.0669994	0.00500178	0.0609994	0.00499892
529	0.0900002	0.0050087	0.0819988	0.00400019
559	0.0699971	0.00399995	0.0650008	0.00399947
572	0.125999	0.00500083	0.125002	0.00399923
590	0.0539985	0.00500059	0.0539978	0.00399995
545	0.107999	0.00600362	0.098001	0.00499988
476	0.103003	0.0089972	0.0869999	0.00499988
518	0.0850017	0.00500274	0.0720053	0.00400043
531	0.136005	0.00499487	0.109999	0.00499868
566	0.166005	0.00399971	0.146999	0.00400019
593	0.205995	0.00400019	0.197	0.00400019
637	0.0509989	0.0050025	0.0469046	0.00399923
547	0.152995	0.00600243	0.107002	0.00500107
479	0.0679996	0.00399971	0.0589995	0.00400066
544	0.171004	0.00499392	0.153001	0.00400162
562	0.173996	0.00500083	0.137998	0.00400209
600	0.173006	0.00499749	0.166	0.00599933
604	0.117004	0.00400019	0.111003	0.00499821
557	0.175997	0.00500059	0.174001	0.00499964
621	0.059	0.00499988	0.0640004	0.00399995
598	0.194999	0.00499988	0.199441	0.00600028
553	0.109001	0.00499964	0.116002	0.00399661
618	0.126	0.00399995	0.132998	0.00500035
619	0.0910001	0.00400066	0.0959995	0.0039978
553	0.0710015	0.00499892	0.0660017	0.00399899
509	0.117999	0.00299907	0.116	0.00499916
612	0.157	0.00399971	0.152001	0.00399899
680	0.0919998	0.00400138	0.0899985	0.00499964
664	0.0720024	0.00499797	0.0670016	0.00500154
568	0.117997	0.00400019	0.115997	0.00499916
503	0.102998	0.00400019	0.102002	0.00299954
610	0.079	0.00399995	0.0789981	0.00400019
626	0.15	0.00500059	0.153949	0.00399733
593	0.152001	0.00399733	0.153003	0.00500107
602	0.119998	0.00500011	0.133	0.00499701
631	0.098001	0.00500202	0.118001	0.0049994
589	0.0780029	0.00399637	0.0879991	0.00400019
535	0.103	0.00500131	0.110002	0.00399899
596	0.131004	0.00399852	0.132002	0.00399923
651	0.146997	0.00500035	0.171997	0.00400019
712	0.0850039	0.00499916	0.106	0.00700068
668	0.197995	0.00500131	0.213003	0.0059967
638	0.253004	0.00400019	0.273002	0.00500059
801	0.175998	0.00400019	0.188996	0.00500035
763	0.314002	0.00499821	0.302001	0.00700045
695	0.117998	0.00500369	0.124999	0.0040009
692	0.211999	0.00500154	0.207002	0.00499892
705	0.118001	0.00400209	0.116002	0.00399828
672	0.131999	0.00500011	0.128	0.00499916
628	0.158997	0.00500154	0.154003	0.00499988
701	0.228001	0.00599766	0.254998	0.00499868
753	0.198	0.00499988	0.204001	0.00499773
775	0.140001	0.00500035	0.133998	0.00500059
707	0.115004	0.00500059	0.108001	0.00499964
592	0.179001	0.00399876	0.169001	0.00499892
646	0.132	0.00600457	0.131998	0.00500321
755	0.270999	0.00500011	0.275	0.00399876
842	0.218003	0.00499868	0.203999	0.0040009
809	0.229998	0.00600052	0.214	0.00500011
763	0.154003	0.0059967	0.157001	0.00499773
719	0.105	0.00500178	0.106092	0.00499988
626	0.163999	0.00499964	0.172998	0.00499988
698	0.105999	0.00500131	0.103002	0.00399899
771	0.161001	0.0050056	0.178998	0.00499988
717	0.162004	0.00500059	0.166998	0.00500011
680	0.136004	0.00499868	0.128999	0.00500035
684	0.141001	0.00600004	0.161	0.0110006
710	0.186999	0.00499988	0.212003	0.00499964
747	0.195999	0.00500083	0.184998	0.00399947
815	0.179004	0.0059979	0.169	0.00500059
804	0.22452	0.00599837	0.2	0.00499964
766	0.109	0.00500202	0.112	0.00400019
700	0.127003	0.00499678	0.121001	0.00499845
692	0.158005	0.00500083	0.153002	0.00399899
778	0.182997	0.00400019	0.182	0.00399828
843	0.329002	0.00499725	0.318002	0.00499916
905	0.171999	0.00600004	0.194	0.00499988
857	0.142	0.00499988	0.157998	0.00699997
668	0.173	0.00499988	0.193998	0.00500131
688	0.135001	0.00500607	0.144	0.00499988
311	0.0370045	0.00300002	0.0379987	0.00400233
343	0.046001	0.00400066	0.0449996	0.00500011
367	0.0619979	0.00399971	0.0620012	0.00399995
402	0.0745206	0.00399971	0.0670018	0.00699925
418	0.0369985	0.0040009	0.0379965	0.00399971
386	0.0579975	0.00400019	0.0610018	0.00499916
380	0.0550001	0.00399971	0.0569997	0.00399876
413	0.0410004	0.00400019	0.0410004	0.00400472
459	0.0890009	0.00499964	0.0890012	0.00499701
480	0.0449991	0.00500011	0.0440009	0.00500035
464	0.079999	0.00400162	0.0850053	0.00399613
474	0.081001	0.00399947	0.0839987	0.00499964
469	0.099999	0.00399995	0.104511	0.00508189
520	0.0409992	0.00500059	0.0419984	0.00499964
560	0.0449996	0.00500011	0.0409999	0.00500464
523	0.086	0.00500345	0.0810003	0.00499892
546	0.0469959	0.00399995	0.0490026	0.00499725
511	0.051003	0.00499797	0.0530005	0.00500131
540	0.0950053	0.00499487	0.0919991	0.00499988
524	0.0885634	0.0059998	0.0760002	0.00400209
555	0.0830007	0.00500059	0.0749996	0.00399971
593	0.0539968	0.00500011	0.0550017	0.00499773
579	0.0560005	0.00500107	0.0590017	0.00500059
