Graph size,Flexible forward,Constant forward,Flexible backward,Constant backward
121.0,0.0320418,0.00200248,0.0179982,0.0380039
114.0,0.0249999,0.00100017,0.022999,0.027
132.0,0.0369999,0.00199771,0.0390048,0.0479968
153.0,0.0190032,0.000999689,0.0199969,0.0200033
134.0,0.0419998,0.00300455,0.0379939,0.0849991
173.0,0.0349994,0.00200248,0.0339987,0.0370042
173.0,0.0229998,0.0010004,0.0250051,0.0269985
100.0,0.0160024,0.000997543,0.0169985,0.0169969
161.0,0.0339966,0.00200152,0.0360022,0.0339994
194.0,0.0319998,0.00200248,0.032999,0.0329988
169.0,0.0289972,0.00200295,0.0299976,0.0260026
186.0,0.0269988,0.00199795,0.0270009,0.0260007
156.0,0.0309985,0.00300121,0.0289996,0.0289972
183.0,0.035001,0.00200081,0.0389974,0.0369997
187.0,0.0449977,0.00200057,0.0399983,0.073
221.0,0.0270014,0.00199986,0.0280006,0.0299993
205.0,0.0280008,0.00200081,0.0249991,0.0449991
149.0,0.0389984,0.00200343,0.0369968,0.0529995
239.0,0.03,0.00200033,0.0309973,0.0310004
167.0,0.0199997,0.0010016,0.0210001,0.0179985
185.0,0.0510006,0.00199866,0.047004,0.0500016
225.0,0.0389962,0.00200009,0.038301,0.0809979
207.0,0.0279975,0.00200438,0.0290055,0.0260003
215.0,0.0379977,0.00200105,0.0389991,0.0530002
201.0,0.0220037,0.00200033,0.0229971,0.0210006
155.0,0.0500004,0.00199771,0.0489993,0.0417969
210.0,0.0429935,0.00200343,0.0410023,0.0819986
213.0,0.0979962,0.00200129,0.100002,0.101001
261.0,0.0559971,0.00299978,0.0550005,0.0579953
263.0,0.0469997,0.00200629,0.0449946,0.0440006
234.0,0.0530028,0.00199795,0.0529995,0.0509984
206.0,0.0450037,0.00199986,0.0449967,0.075001
235.0,0.0620005,0.00200057,0.0630054,0.0549974
265.0,0.0683222,0.00200009,0.0610054,0.0640049
291.0,0.085,0.0019989,0.0830004,0.186
286.0,0.0280023,0.00300002,0.0289979,0.0399997
189.0,0.052001,0.0019989,0.0490005,0.0500023
237.0,0.0720007,0.00200152,0.0709984,0.118999
299.0,0.0520003,0.00199819,0.0589991,0.0579991
192.0,0.0410011,0.00199986,0.0410008,0.0679994
231.0,0.0600016,0.00199938,0.060003,0.129997
244.0,0.0559988,0.00200081,0.0499992,0.0509973
231.0,0.0440001,0.00199866,0.0420017,0.0440006
178.0,0.0559962,0.00200129,0.0529997,0.0549991
203.0,0.0649979,0.00200033,0.0620003,0.0589995
265.0,0.0550001,0.00200105,0.0569983,0.155999
263.0,0.0440006,0.00200057,0.0450006,0.0640018
288.0,0.058002,0.00299931,0.057997,0.0580029
245.0,0.0720043,0.00299668,0.0700006,0.141999
241.0,0.114997,0.00200105,0.112002,0.178001
295.0,0.075999,0.00300121,0.0750024,0.178001
258.0,0.130002,0.00100064,0.123999,0.247999
370.0,0.0930021,0.00299907,0.0959988,0.0949986
284.0,0.0849974,0.00200105,0.0879998,0.078001
317.0,0.0729964,0.00300026,0.0741286,0.0910015
282.0,0.083003,0.00199771,0.0819998,0.082998
284.0,0.117046,0.00300407,0.122994,0.257994
323.0,0.126998,0.00200534,0.126998,0.179999
297.0,0.135997,0.00300241,0.140001,0.187999
340.0,0.0639997,0.0030005,0.0650079,0.0670009
239.0,0.0629971,0.002002,0.0580001,0.0879989
262.0,0.0749991,0.00199819,0.0719993,0.0990005
290.0,0.13,0.00299931,0.128,0.185997
293.0,0.104002,0.00199819,0.0999987,0.143998
317.0,0.112,0.00200081,0.111998,0.153001
320.0,0.145001,0.00200033,0.127561,0.153997
367.0,0.0780001,0.00300121,0.0809996,0.090996
224.0,0.0829968,0.00200081,0.0809991,0.0930042
295.0,0.0850008,0.00300288,0.0869956,0.231999
291.0,0.134,0.00300074,0.147008,0.341004
325.0,0.157,0.00300097,0.154006,0.176997
339.0,0.111003,0.00299931,0.104998,0.123997
307.0,0.102998,0.00299859,0.0970056,0.140996
286.0,0.163995,0.00300264,0.165001,0.337003
388.0,0.12,0.00200033,0.122002,0.305997
264.0,0.131998,0.00200295,0.131997,0.134999
332.0,0.153005,0.00300074,0.147995,0.229998
341.0,0.0960028,0.0030005,0.0890012,0.146001
319.0,0.0599949,0.00200129,0.0590005,0.0639997
262.0,0.0810056,0.00299788,0.0779982,0.0890026
283.0,0.117001,0.00300431,0.10999,0.120002
368.0,0.158997,0.00300121,0.155,0.263999
359.0,0.151999,0.00500607,0.159995,0.325001
358.0,0.0660057,0.00300312,0.060991,0.0769987
239.0,0.100998,0.00300336,0.100998,0.103998
302.0,0.131,0.00200105,0.121999,0.289
352.0,0.126,0.00200105,0.129999,0.229002
325.0,0.138,0.00299978,0.135,0.152997
321.0,0.188003,0.00200224,0.174999,0.182993
344.0,0.123999,0.00300074,0.125999,0.118998
336.0,0.0779991,0.00400877,0.0829909,0.0809991
287.0,0.0649993,0.00200224,0.0679979,0.0760019
277.0,0.136001,0.00199986,0.127998,0.199
363.0,0.0900009,0.00200009,0.0909984,0.098001
328.0,0.164999,0.00200081,0.152262,0.164
432.0,0.124002,0.00300145,0.132015,0.185002
290.0,0.118001,0.00200462,0.124996,0.122999
390.0,0.318999,0.00299835,0.325033,0.315996
487.0,0.172015,0.00399971,0.19,0.175
336.0,0.172997,0.00299859,0.163649,0.234998
410.0,0.223,0.0030005,0.213001,0.198
356.0,0.154998,0.00200129,0.152997,0.196
394.0,0.144,0.00299835,0.140003,0.321
337.0,0.113996,0.00300026,0.119999,0.111998
337.0,0.152998,0.00300336,0.162067,0.164002
412.0,0.270002,0.00199986,0.264001,0.589999
419.0,0.251995,0.00300217,0.273999,0.273999
429.0,0.164032,0.00399947,0.169001,0.161001
337.0,0.0970032,0.00299883,0.0969965,0.0880041
294.0,0.142999,0.00300264,0.135055,0.151999
397.0,0.186996,0.00300264,0.191997,0.240999
412.0,0.171996,0.0030005,0.170001,0.174998
480.0,0.274995,0.00200152,0.27406,0.273
411.0,0.155,0.00299978,0.163999,0.273995
405.0,0.112996,0.00300074,0.109005,0.202001
354.0,0.101004,0.0039978,0.100998,0.121998
315.0,0.143948,0.00500274,0.148995,0.209005
426.0,0.195998,0.00400543,0.187995,0.215001
402.0,0.136,0.00300217,0.141,0.157004
363.0,0.154996,0.00300384,0.159997,0.356999
369.0,0.103999,0.00300145,0.106041,0.109004
347.0,0.151,0.00300169,0.155997,0.172995
410.0,0.206001,0.00300312,0.219,0.175
398.0,0.218997,0.00400305,0.218996,0.275011
477.0,0.215997,0.00200009,0.226005,0.23859
394.0,0.136072,0.00299835,0.138003,0.129
410.0,0.104001,0.00299764,0.107,0.101002
335.0,0.118,0.00300002,0.114,0.109
391.0,0.225001,0.00300217,0.223997,0.227004
450.0,0.253186,0.00200129,0.245002,0.464999
463.0,0.339,0.00499964,0.338999,0.666016
538.0,0.198,0.00400233,0.196374,0.230002
386.0,0.0730004,0.00299883,0.0800052,0.068996
311.0,0.128017,0.00299978,0.127001,0.131002
415.0,0.154088,0.00300097,0.154019,0.351004
215.0,0.0279965,0.0010035,0.027997,0.0459998
225.0,0.0210083,0.00100136,0.0169981,0.0209997
258.0,0.0239983,0.00100017,0.0220006,0.0209975
273.0,0.033,0.00200009,0.0369999,0.0389986
281.0,0.0289981,0.00200057,0.0309999,0.0649967
325.0,0.0199997,0.00200105,0.0189993,0.0429988
249.0,0.0339983,0.00200081,0.0339992,0.0619998
254.0,0.022001,0.00200105,0.0229979,0.0240002
332.0,0.0330031,0.00199866,0.0360005,0.0310001
339.0,0.0639994,0.00200129,0.0640125,0.065001
340.0,0.0240092,0.00299335,0.023998,0.0240002
321.0,0.0330009,0.00199962,0.0320513,0.0349998
323.0,0.0479977,0.00199914,0.0470004,0.0479996
348.0,0.0640004,0.00300074,0.0649986,0.0790026
385.0,0.0299997,0.00200081,0.0300021,0.0290017
408.0,0.0250003,0.00199819,0.0240026,0.0209963
335.0,0.0265124,0.00199819,0.0270014,0.0239997
370.0,0.022994,0.00200105,0.0255208,0.033
390.0,0.0420041,0.00199866,0.0409968,0.0859969
342.0,0.0509958,0.00100088,0.0470042,0.0469978
386.0,0.0400007,0.00200176,0.0419996,0.0710011
412.0,0.0519984,0.00200081,0.0529997,0.0489993
411.0,0.0389991,0.00200295,0.036001,0.0339973
399.0,0.0309985,0.00200081,0.0300014,0.0330119
343.0,0.0310018,0.00200224,0.0299954,0.0319967
339.0,0.0470009,0.00099802,0.0479991,0.0449982
403.0,0.0750027,0.00199914,0.0779953,0.0759981
426.0,0.0849972,0.00200152,0.0810168,0.120005
498.0,0.0569987,0.00200391,0.058996,0.130003
472.0,0.0450034,0.00299692,0.0479994,0.058002
410.0,0.0450048,0.00199986,0.0459957,0.0470011
421.0,0.0479989,0.00200129,0.043999,0.0459976
472.0,0.0559983,0.00200009,0.0530009,0.0990012
528.0,0.0770009,0.00199986,0.0790026,0.0819988
541.0,0.0339975,0.00200152,0.0319986,0.069001
458.0,0.0520198,0.00199914,0.0489988,0.109002
401.0,0.0439987,0.00100088,0.0530021,0.0899971
508.0,0.0540001,0.00200081,0.0469999,0.0489984
463.0,0.0499976,0.00200248,0.047997,0.0510032
403.0,0.0450008,0.0019989,0.0480003,0.0499952
445.0,0.0380023,0.00199866,0.038996,0.043
453.0,0.0290012,0.00199962,0.0290015,0.0519979
381.0,0.0420105,0.00200105,0.0439994,0.0410042
351.0,0.0670025,0.000999689,0.0640004,0.0719998
439.0,0.0559967,0.00200033,0.0589995,0.0709989
494.0,0.0919993,0.00199962,0.0930014,0.199999
529.0,0.0615199,0.00299883,0.0700057,0.0690019
503.0,0.0509973,0.00299931,0.0509992,0.0989976
450.0,0.108999,0.00200057,0.108,0.117999
489.0,0.0760021,0.00199628,0.0729988,0.116
517.0,0.175999,0.00200129,0.172999,0.165015
583.0,0.0829978,0.00200367,0.0859981,0.0830004
611.0,0.116,0.00300431,0.111997,0.124002
561.0,0.0800009,0.00300002,0.0870013,0.0850058
563.0,0.0560012,0.00200057,0.056,0.0559969
529.0,0.0829973,0.00200176,0.0909977,0.128002
559.0,0.0665336,0.00299859,0.0710008,0.0770001
572.0,0.123997,0.00200105,0.126001,0.122
590.0,0.0560005,0.00300121,0.0560024,0.0720005
545.0,0.0989981,0.00400829,0.107994,0.0999999
476.0,0.0950019,0.00200057,0.0929976,0.0900002
518.0,0.0759938,0.00200105,0.0740008,0.0730009
531.0,0.112001,0.0030005,0.118001,0.115001
566.0,0.165005,0.00200057,0.165993,0.157999
593.0,0.222999,0.00299835,0.214001,0.221999
637.0,0.0549977,0.00300479,0.0509982,0.114
547.0,0.125001,0.00299978,0.126997,0.33
479.0,0.076998,0.00199842,0.0590012,0.0699987
544.0,0.159003,0.0029974,0.162173,0.327998
562.0,0.159002,0.00300026,0.152516,0.163999
600.0,0.166004,0.00299907,0.167996,0.15205
604.0,0.117993,0.00200248,0.113002,0.106999
557.0,0.183996,0.00200272,0.185001,0.185001
621.0,0.0619988,0.00300002,0.0629983,0.0719976
598.0,0.203001,0.00300002,0.207001,0.43455
553.0,0.113997,0.00200248,0.113,0.119998
618.0,0.127063,0.00299954,0.138001,0.123
619.0,0.0959938,0.00300074,0.0960016,0.0849984
553.0,0.0760036,0.00299907,0.0719972,0.108
509.0,0.122995,0.00200248,0.131999,0.112998
612.0,0.173998,0.0030005,0.189999,0.348004
680.0,0.102007,0.00299549,0.113999,0.123996
664.0,0.0789936,0.00300193,0.0789986,0.220001
568.0,0.13299,0.00300193,0.128998,0.143001
503.0,0.107996,0.00200129,0.106004,0.108005
610.0,0.0930023,0.00299835,0.0909984,0.151997
626.0,0.160997,0.00300121,0.15,0.198015
593.0,0.149003,0.00299788,0.161999,0.161997
602.0,0.120999,0.00200081,0.120999,0.148001
631.0,0.105998,0.00300074,0.115,0.11301
589.0,0.0899975,0.00300241,0.0859971,0.0839994
535.0,0.119518,0.00200033,0.110997,0.196031
596.0,0.133998,0.00200009,0.143002,0.26401
651.0,0.163999,0.00300121,0.165997,0.138013
712.0,0.0910039,0.00300097,0.0939977,0.181465
668.0,0.222995,0.00299954,0.217521,0.25602
638.0,0.278003,0.00299668,0.283998,0.276002
801.0,0.207515,0.00300097,0.191001,0.19
763.0,0.308125,0.00499988,0.327001,0.31206
695.0,0.115001,0.00200009,0.122997,0.124021
692.0,0.221001,0.00299835,0.227,0.364002
705.0,0.117999,0.00400066,0.114999,0.140991
672.0,0.121005,0.00299382,0.128004,0.142002
